Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
48159656,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
48361570,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
48563613,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
49568648,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
49768616,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
49972831,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
50172677,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
50981847,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
51191656,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
51392604,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
51595612,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
51795753,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
51999005,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
52201010,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
52402635,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
52603816,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
52803642,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
53006036,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
53206508,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
53406093,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
53607572,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
53806633,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
54007131,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
54209578,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
54409672,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
54615192,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
54818832,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
55021127,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
55221847,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
55421991,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
55621715,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
55823601,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
56025649,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
56231307,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
56429917,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
56636720,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
56838157,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
57044859,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
57450734,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
57650766,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
57850753,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
58050962,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
58251619,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
58452643,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
58656566,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
58855923,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
59056615,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
59256569,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
59455739,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
59656668,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
59856633,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
60056592,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
60256699,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
60456609,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
60657838,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
60859674,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
61260674,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
61462706,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
61663604,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
62670670,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
62870674,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
63071630,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
64085660,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
64288641,000004ED,false,Rx,0,8,0,0,0,0,0,9,90,0
