Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
95800,0000012B,false,Rx,0,8,56,CE,76,06,00,00,08,00,
95838,00000093,false,Rx,0,8,00,00,00,00,00,00,00,00,
96691,0000012C,false,Rx,0,8,00,00,01,00,00,64,00,00,
96739,00000094,false,Rx,0,8,00,00,00,00,00,00,00,00,
96779,00000161,false,Rx,0,8,89,43,BB,03,00,00,00,02,
96825,0000011B,false,Rx,0,8,11,34,76,05,80,08,A8,02,
97805,00000162,false,Rx,0,8,FF,FC,01,00,00,00,00,00,
97842,0000011C,false,Rx,0,8,00,05,20,00,22,00,01,01,
99691,00000146,false,Rx,0,8,50,38,13,10,04,01,00,00,
99733,00000147,false,Rx,0,8,00,04,7D,00,40,00,00,00,
99768,00000148,false,Rx,0,8,00,00,00,00,00,5E,40,05,
99827,00000149,false,Rx,0,8,00,00,00,00,00,00,00,00,
100691,000001B1,false,Rx,0,8,6B,8F,13,00,72,00,00,00,
100738,000001B2,false,Rx,0,8,23,00,04,0E,8C,00,79,EA,
100775,000001B3,false,Rx,0,8,8C,16,00,00,61,65,69,65,
100820,000001B4,false,Rx,0,8,63,67,17,00,00,40,01,00,
104690,0000010B,false,Rx,0,8,9A,A9,30,00,00,16,00,05,
104729,0000010C,false,Rx,0,8,FF,F9,E7,1F,34,31,34,31,
104765,0000010D,false,Rx,0,8,F2,02,16,00,10,00,00,35,
104811,0000010E,false,Rx,0,8,7C,00,0A,00,7C,C0,AB,57,
104854,0000036F,false,Rx,0,8,EE,E1,01,00,00,00,00,00,
105691,0000037F,false,Rx,0,8,3A,B0,52,24,41,02,00,00,
105728,000001A1,false,Rx,0,8,DB,40,BB,FE,F7,7F,64,00,
105758,000001A2,false,Rx,0,8,00,00,00,00,00,08,00,00,
106691,000001A3,false,Rx,0,8,FF,F3,3F,00,00,00,00,00,
106717,00000121,false,Rx,0,8,DE,CA,30,00,00,1E,00,05,
106752,000001A4,false,Rx,0,8,FE,07,00,00,00,00,00,00,
106791,00000122,false,Rx,0,8,FF,D9,67,1F,3C,31,3C,33,
106831,000003AA,false,Rx,0,8,FF,00,D0,00,54,00,00,00,
107691,00000123,false,Rx,0,8,F2,02,1E,00,10,00,00,35,
107729,00000124,false,Rx,0,8,7C,00,0A,00,7C,00,20,40,
107757,00000061,false,Rx,0,8,6B,2C,12,00,00,00,00,00,
108691,00000062,false,Rx,0,8,02,02,00,02,40,FF,00,FF,
108718,00000063,false,Rx,0,8,9C,01,15,00,00,08,FD,00,
108750,00000064,false,Rx,0,8,00,00,00,04,FF,FA,00,00,
108789,000000A1,false,Rx,0,8,EB,C7,12,02,04,00,00,00,
109691,000000A2,false,Rx,0,8,00,00,00,00,00,00,00,00,
109738,000000A3,false,Rx,0,8,00,40,01,00,00,00,00,00,
112690,00000111,false,Rx,0,8,A8,16,F5,01,00,00,00,00,
112724,00000112,false,Rx,0,8,00,00,00,00,00,00,00,00,
113691,0000019B,false,Rx,0,8,35,F5,85,00,00,E4,00,00,
113716,00000113,false,Rx,0,8,00,00,00,00,00,00,00,00,
113744,0000019C,false,Rx,0,8,40,20,00,00,00,00,0B,09,
113786,00000114,false,Rx,0,8,00,00,00,00,00,00,00,00,
113817,0000019D,false,Rx,0,8,00,10,00,01,00,00,00,00,
114686,0000019E,false,Rx,0,8,15,00,00,00,00,32,00,00,
123690,00000495,false,Rx,0,8,49,00,00,00,00,00,00,00,
130692,00000419,false,Rx,0,8,90,D0,2A,D5,7D,89,65,00,
130721,00000401,false,Rx,0,8,C6,10,10,00,00,04,00,00,
131689,00000566,false,Rx,0,8,16,02,00,00,00,00,FF,FF,
132690,000004A3,false,Rx,0,8,80,00,48,0B,3E,00,00,00,
132725,000004A4,false,Rx,0,8,FF,FF,FF,00,00,00,00,00,
134692,000001E6,false,Rx,0,8,20,55,79,02,00,00,00,00,
134747,000001BB,false,Rx,0,8,2F,A2,79,02,00,00,00,0A,
134789,000001BC,false,Rx,0,8,32,00,00,00,03,00,00,00,
134823,000001BD,false,Rx,0,8,00,00,00,00,00,00,00,00,
134849,000001E7,false,Rx,0,8,00,00,22,03,20,01,00,00,
137690,000001AB,false,Rx,0,8,98,3E,4E,40,70,48,00,00,
137719,000001AC,false,Rx,0,8,00,28,00,00,00,00,00,00,
140721,000003B6,false,Rx,0,8,8E,5E,1B,00,00,00,00,33,
140776,000003B7,false,Rx,0,8,32,00,00,00,00,00,00,00,
140846,000003B8,false,Rx,0,8,EE,02,00,00,00,00,69,0E,
140928,000003B9,false,Rx,0,8,00,00,00,00,00,00,00,00,
141691,00000036,false,Rx,0,8,87,A9,45,51,05,00,25,01,
141714,00000037,false,Rx,0,8,00,4B,01,10,7C,40,7C,00,
141741,00000038,false,Rx,0,8,04,00,00,00,90,38,96,D4,
142694,00000039,false,Rx,0,8,05,00,00,00,00,00,00,00,
145698,0000011B,false,Rx,0,8,62,0D,7B,05,80,08,A8,02,
145737,0000012B,false,Rx,0,8,25,F7,7B,06,00,00,08,00,
146691,0000011C,false,Rx,0,8,00,05,20,00,22,00,01,01,
146731,0000012C,false,Rx,0,8,00,00,01,00,00,64,00,00,
146766,000001E1,false,Rx,0,8,7B,D9,7F,02,00,00,00,00,
146789,000001E2,false,Rx,0,8,00,00,00,00,00,00,00,00,
